row_num,shop,schedule,time,product,content_type,topic,title,url,creator,status,date,post,path,note,recorder,editor,actor,voice_over,script,vv,revenue,shares,comments,engagement_rate,ctor,media_url,content_status,publish_status,remark,tiktok_eloop,facebook_eloop,instagram_eloop,youtube_eloop,tiktok_moov,facebook_moov,youtube_moov,instagram_moov,notified
,Moov,,,,Campaign,เปิดตัวไลฟ์Pay Day Sale & 2.2,, https://www.tiktok.com/@moovthailand/video/7329494286649543954,Ploy,Done,1/29/2024,Ploy,,,Huang,Huang,Ploy,Ploy,,,,,,,,,,,,,,,,,,,,
,EloopTH,,,,Educate ,เสียงแจ้งเตือนไอโฟนแบบเก่ากลับมาแล้วววว,,https://www.tiktok.com/@eloopth/video/7328644961774390533,Yung,Done,1/27/2024,HUANG,/Volumes/graphic/_Video Content/Short Video/2024/Educate/เสียงแจ้งเตือนไอโฟนแบบเก่ากลับมาแล้ว.mp4,,Yung,Guild,Guild,Nile,,,,,,,,,,,,,,,,,,,,
29 Jan - 4 Feb,EloopTH,,,,Campaign,Pay Day Sale & 2.2,,https://www.tiktok.com/@eloopth/video/7330678830408977670,Huang,Done,02/01/2024,HUANG,,#TikTokShopช้อปกันวันเงินออก#ช้อปกันวันเงินออก#22โปรดีปีมังกร,Huang,Huang,Ploy,Ploy,,68.0,0.0,0.0,0.0,0.00%,0.00%,,,,,,,,,,,,,
,EloopTH,,,,Campaign,Pay Day Sale & 2.2,,https://www.tiktok.com/@eloopth/video/7329829798870650118,Huang,Done,1/31/2024,HUANG,,#TikTokShopช้อปกันวันเงินออก#ช้อปกันวันเงินออก#22โปรดีปีมังกร,Huang,Huang,Ploy,Ploy,,9.0,0.0,0.0,0.0,0.00%,0.00%,,,,,,,,,,,,,
,EloopTH,,,,Campaign,Pay Day Sale & 2.2,,https://www.tiktok.com/@eloopth/video/7330930098008280325,Huang,Done,2/2/2024,HUANG,,"นับถอยหลังแล้ว ⏰  ใครยังไม่ซื้อ กดได้เลยตอนนี้ !! หมดเวลาเที่ยงคืนนี้เท่านั้น !!!
#TikTokShopช้อปกันวันเงินออก#ช้อปกันวันเงินออก#22โปรดีปีมังกร",Huang,Huang,Ploy,Ploy,,,,,,,,,,,,,,,,,,,,
,EloopTH,,,E33,Q & A ,E33 ชาร์จเต็มแล้วเป็นยังไง,,https://www.tiktok.com/@eloopth/video/7330260835069185286,Moth,Done,1/2/2024,HUANG,/Volumes/graphic/_Video Content/Short Video/2024/Eloop/Jan/E33 ชาร์จเต็ม.mp4,,Moth,Moth,Moth,Moth,,13405.0,682.72,18.0,13.0,1.84%,67.15%,,,,,,,,,,,,,
,EloopTH,,,EW55,Viral,เทสที่สร้าง ร่างที่เป็น,,https://www.tiktok.com/@eloopth/photo/7330850879244930311,Ann,Done,2/2/2024,Ann,,,Ann,Ann,Ann,Music,,,,,,,,,,,,,,,,,,,,
,EloopTH,,,E43,Review,E43 ชาร์จได้กี่เครื่อง,,https://www.tiktok.com/@eloopth/video/7329862553587256597,Ann,Done,1/31/2024,Ploy,/Volumes/graphic/_Video Content/Short Video/2024/Eloop/Jan/E43-Review.mov,,Ann,Ann,Ann,Huang,,1053.0,0.0,2.0,0.0,0.47%,0.00%,,,,,,,,,,,,,
,EloopTH,,,"E33 / E48
E53 / E33Line
EW54",Review,พาวเวอร์แบงค์ 10000mAh รุ่นไหนน้ำหนักเบาๆ,,https://www.tiktok.com/@eloopth/video/7331649489868016902,Ann,Done,2/3/2024,HUANG,/Volumes/graphic/_Video Content/Short Video/2024/Eloop/Feb/10000mAh เบาๆ.mov,,Ann,Ann,Ann,Music,,29.0,0.0,0.0,0.0,0.00%,0.00%,,,,,,,,,,,,,
,Moov,,,ST01,Review,รีวิว ST01,,https://www.tiktok.com/@moovthailand/video/7331767045769448712,View,Done,2/4/2024,Ploy,/Volumes/graphic/_Video Content/Short Video/2024/Moov/Feb/ST01_Tiktok.mp4,,View,View,Guild,Music,,,,,,,,,,,,,,,,,,,,
,Moov,,,ST02,Review,ใหม่ ที่ตั้งมือถือ ใส่บัตรได้ ST02,,https://www.tiktok.com/@moovthailand/video/7330997865130577159?lang=en,Moth,Done,2/2/2024,Ploy,/Volumes/graphic/_Video Content/Short Video/2024/Moov/Jan/ST02.mp4,,Moth,Moth,Moth,Moth,,,,,,,,,,,,,,,,,,,,
FEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-11 Feb,EloopTH,,,E14 Ultra,Review,รีวิว E14 Ultra,,https://www.tiktok.com/@eloopth/video/7333221967773945093,Ann,Done,2/9/2024,HUANG,/Volumes/graphic/_Video Content/Short Video/2024/Eloop/Feb/New E14 Ultra.MOV,,Ann,Ann,Yung,Nile,,5372.0,2065.16,7.0,0.0,0.84%,20.83%,,,,,,,,,,,,,
,EloopTH,,,"EW54
E48
E29",Review,"แนะนำ วาเลนไทน์นี้ 
มีพาวเวอร์แบงค์ให้คุณแฟนสักตัว",,https://www.tiktok.com/@eloopth/video/7334362379070868754,Ann,Done,2/11/2024,Ann,,,Ann,Ann,Ann,Huang,,130.0,0.0,0.0,0.0,0.77%,0.00%,,,,,,,,,,,,,
,EloopTH,,,E33,Review,E33 ชาร์จเข้าได้กี่รู,,https://www.tiktok.com/@eloopth/video/7332105304865328390,Moth,Done,2/5/2024,HUANG,/Volumes/graphic/_Video Content/Short Video/2024/Eloop/Jan/E33 ชาร์จเข้ากี่รู.mp4,,Moth,Moth,Moth,Moth,,2324.0,0.0,4.0,9.0,1.29%,0.00%,,,,,,,,,,,,,
,EloopTH,,,ไม่ปักตะกร้า,Educate ,คัดลอกข้อความจากรูปภาพ,,https://www.tiktok.com/@eloopth/video/7332477121425575174,Yung,Done,2/6/2024,HUANG,/Volumes/graphic/_Video Content/Short Video/2024/Educate/คัดลอดข้อความจากล้อง.MOV,,Yung,Guild,Huang,Huang,,,,,,,,,,,,,,,,,,,,
,EloopTH,,,E29,Review,E29 สีเทาใหม่ เข้มขึ้น,,https://www.tiktok.com/@eloopth/video/7333628051810569480,Moth,Done,2/9/2024,Ploy,"/Volumes/graphic/_Video Content/Short Video/2024/Eloop/Feb/E29 เปลี่ยนสีโมเดลใหม่.mp4

Tiktok E29 เปลี่ยนสี",,Moth,Moth,Moth,Moth,,1504.0,3476.99,0.0,0.0,0.73%,13.09%,,,,,,,,,,,,,
,Moov,,,TA02,Review,TA02 ไม่รองรับปลั๊กแบบ 3 ขา,,https://www.tiktok.com/@moovthailand/video/7333215845738499336,Moth,Done,2/10/2024,Ploy,/Volumes/graphic/_Video Content/Short Video/2024/Moov/Feb/TA02 ปลั๊ก 3 ขาเสียบไม่ได้.mp4,,Moth,Moth,Moth,Moth,,,,,,,,,,,,,,,,,,,,
,Moov,,,ST02,Review,รีวิว ST02,,https://vt.tiktok.com/ZSFLqg2n1/,View,Done,2/7/2024,Japan,/Volumes/graphic/_Video Content/Short Video/2024/Moov/Feb/ST02_Tiktok.mp4,,View,View,Guild,Music,,,,,,,,,,,,,,,,,,,,
,Moov,,,"PB01
PB02",,พาวเวอร์แบงค์สีหวาน เหมาะกับเป็นของขวัญวาเลนไทน์สุดๆ,,https://www.tiktok.com/@moovthailand/video/7334375881017658642?lang=th-TH,Ann,Done,2/11/2024,Ann,,,Ann,Ann,Ann,Music,,,,,,,,,,,,,,,,,,,,
12-18 Feb,EloopTH,,,E14 Ultra,Review,E14 Ultra เทียบกับขนาดมือถือ,,https://www.tiktok.com/@eloopth/video/7336921379163344130,Ann,Done,2/17/2024,HUANG, /Volumes/graphic/_Video Content/Short Video/2024/Eloop/Feb/เทียบ E14 U .mov,,Ann,Ann,Ann,Moth,,1878.0,0.0,1.0,0.0,0.16%,0.00%,,,,,,,,,,,,,
,EloopTH,,,"E53
EW54",Review,E53 vs EW54,,https://www.tiktok.com/@eloopth/video/7336081194863430918,Ann,Done,2/16/2024,HUANG,/Volumes/graphic/_Video Content/Short Video/2024/Eloop/Feb/E53vsEW54.mov,,Ann,Ann,Ann,Ploy,,591.0,478.0,5.0,0.0,2.54%,14.29%,,,,,,,,,,,,,
,EloopTH,,,EW54,Review,EW54 2 สี,,https://www.tiktok.com/@eloopth/video/7335042299057016069,Ann,Done,2/12/2024,Ploy,/Volumes/graphic/_Video Content/Short Video/2024/Eloop/Feb/EW54 2 สี.mov,,Ann,Ann,Ann,Music,,451.0,0.0,2.0,0.0,2.44%,0.00%,,,,,,,,,,,,,
,EloopTH,,,ไม่ปักตะกร้า,Educate ,5 เหตุผล ที่ทำไม ห้ามแบตสำรองโดนน้ำ!!,,https://www.tiktok.com/@eloopth/video/7336815656433683713,Yung,Done,2/18/2024,HUANG,/Volumes/graphic/_Video Content/Short Video/2024/Educate/5 เหตุผลที่ห้ามให้แบตสำรองเปียกน้ำ_EloopTIKTOK.mp4,,Guild,Guild,Guild,Nile,,,,,,,,,,,,,,,,,,,,
,Moov,,,WC01,Q & A ,WC01 สายยาวเท่าไหร่,,https://www.tiktok.com/@moovthailand/video/7335449887229725957?lang=en,Moth,Done,2/14/2024,Ploy,/Volumes/graphic/_Video Content/Short Video/2024/Moov/Feb/WC01 ยาวเท่าไหร่.mov,ตอบกลับคลิป >> https://www.tiktok.com/business-suite/comments?comment_id=7333578938847757064&from=homepage&video_id=7320631803763641605,Ann,Ann,Moth,Moth,,,,,,,,,,,,,,,,,,,,
,Moov,,,CB07,Review, CB07 สายชาร์จบอกกำลังไฟ,,https://www.tiktok.com/@moovthailand/video/7337273445455105282?is_from_webapp=1&web_id=7335655813602330120,Japan,Done,2/16/2024,Japan,/Volumes/graphic/_Video Content/Short Video/2024/Moov/Feb/Moov_CB07.mp4,,Japan,Japan,Japan,Japan,,,,,,,,,,,,,,,,,,,,
,Moov,,,ST02,Review,ขาตั้ง ใส่บัตรได้ ST02,,https://www.tiktok.com/@moovthailand?lang=en,Ann,Done,2/18/2024,Ploy,/Volumes/graphic/_Video Content/Short Video/2024/Moov/Feb/Moov ST02.mov,,Ann,Ann,Ann,Huang,,,,,,,,,,,,,,,,,,,,
19-25Feb,EloopTH,,,"E63
E65",Review,แบตสำรองชาร์จ Macbook,,https://www.tiktok.com/@eloopth/video/7336921379163344130,Ann,Done,2/20/2024,HUANG,/Volumes/graphic/_Video Content/Short Video/2024/Eloop/Feb/E63 E65.mov,,Ann,Ann,Ann,Music,,1878.0,0.0,1.0,0.0,0.16%,0.00%,,,,,,,,,,,,,
,EloopTH,,,B5,Review,ใหม่ กระเป๋าใส่โน็ตบุ๊ค B5,,https://www.tiktok.com/@eloopth/video/7337333416720878856,View,Done,2/19/2024,Ploy,/Volumes/graphic/_Video Content/Short Video/2024/Eloop/Feb/B5.mp4,,View,View,Guild,Music,,1060.0,1116.33,1.0,0.0,0.57%,45.83%,,,,,,,,,,,,,
,EloopTH,,,"E29
E65",Q & A ,พาวเวอร์แบงค์รุ่นไหน แบตอึดที่สุด,,https://www.tiktok.com/@eloopth/video/7347691228441447701,Moth,Done,2/22/2024,HUANG,/Volumes/graphic/_Video Content/Short Video/2024/Eloop/Feb/แบตอึดที่สุด.mp4,ตอบกลับ >> https://www.tiktok.com/business-suite/comments?comment_id=7330415968551142152&from=homepage&video_id=7329862553587256597,Moth,Moth,Moth,Moth,,458.0,0.0,0.0,0.0,1.53%,0.00%,,,,,,,,,,,,,
